Event,Time
Baseline,"26/05/2021 20:52:28"
"Read_the_problem","26/05/2021 20:56:23"
"Attempting A","26/05/2021 21:30:19"
"Submitting A","26/05/2021 21:38:18"
"Submitting A","26/05/2021 21:41:16"
"Attempting B","26/05/2021 21:44:26"
"Submitting B","26/05/2021 21:56:32"
"Submitting B","26/05/2021 21:57:32"
"Submitting B","26/05/2021 22:02:56"
"Submitting B","26/05/2021 22:11:02"
"Submitting B","26/05/2021 22:13:52"
"Submitting B","26/05/2021 22:14:42"
"Submitting B","26/05/2021 22:16:58"
"Submitting B","26/05/2021 22:30:27"
"Compiling Data Generator for  A","26/05/2021 23:06:09"
"Compiling Data Generator for  A","26/05/2021 23:08:02"
"Compiling Data Generator for  A","26/05/2021 23:08:48"
"Compiling Data Generator for  A","26/05/2021 23:12:07"
"Compiling Data Generator for  A","26/05/2021 23:17:19"
"Compiling Data Generator for  A","26/05/2021 23:18:12"
"Compiling Data Generator for  A","26/05/2021 23:18:24"
"Compiling Data Generator for  A","26/05/2021 23:20:50"
"Compiling Data Generator for  A","26/05/2021 23:26:21"
"Compiling Data Generator for  A","26/05/2021 23:35:16"
"Compiling Data Generator for  A","27/05/2021 11:45:53"
"Compiling Data Generator for  A","27/05/2021 11:49:01"
"Compiling Data Generator for  A","27/05/2021 12:02:37"
"Compiling Data Generator for  A","27/05/2021 12:11:26"
"Compiling Data Generator for  A","27/05/2021 12:12:10"
"Compiling Data Generator for  A","27/05/2021 12:16:56"
"Compiling Data Generator for  A","27/05/2021 12:18:06"
"Compiling Data Generator for  A","27/05/2021 12:26:27"
"Submitting C","27/05/2021 12:56:43"
"Submitting C","27/05/2021 13:00:20"
"Submitting C","27/05/2021 13:07:07"
"Submitting C","27/05/2021 13:12:15"
"Submitting C","27/05/2021 13:12:52"
"Submitting C","27/05/2021 13:13:19"
"Compiling Judge for  A","27/05/2021 13:21:13"
"Compiling Judge for  A","27/05/2021 13:22:24"
"Compiling Judge for  A","27/05/2021 13:22:43"
"Compiling Judge for  A","27/05/2021 13:24:41"
"Compiling Judge for  A","27/05/2021 13:25:01"
"Compiling Judge for  A","27/05/2021 13:25:41"
"Compiling Judge for  A","27/05/2021 13:31:58"
"Compiling Judge for  A","27/05/2021 14:16:06"
"Compiling Judge for  A","27/05/2021 14:16:51"
"Compiling Judge for  A","27/05/2021 14:17:13"
"Compiling Data Generator for  A","27/05/2021 14:19:05"
"Compiling Data Generator for  A","27/05/2021 14:19:24"
"Compiling Judge for  A","27/05/2021 14:20:17"
"Compiling Data Generator for  A","27/05/2021 14:23:43"
"Compiling Judge for  A","27/05/2021 14:25:02"
"Compiling Judge for  A","27/05/2021 14:25:19"
"Compiling Judge for  A","27/05/2021 14:27:26"
"Compiling Data Generator for  A","27/05/2021 14:32:39"
"Compiling Judge for  A","27/05/2021 14:32:47"
"Compiling Judge for  A","27/05/2021 14:33:43"
"Submitting C","27/05/2021 14:45:46"
"Submitting C","27/05/2021 14:48:46"
"Submitting C","27/05/2021 14:52:28"
"Compiling Judge for  D","27/05/2021 15:18:00"
"Compiling Judge for  a","27/05/2021 15:19:05"
"Compiling Judge for  A","27/05/2021 15:19:32"
"Submitting D","27/05/2021 15:20:12"
"Compiling Judge for  A","27/05/2021 15:22:55"
"Compiling Judge for  B","27/05/2021 15:29:42"
"Submitting C","27/05/2021 15:41:20"
"Submitting C","27/05/2021 15:45:04"
"Submitting C","27/05/2021 15:45:33"
"Attempting D","29/05/2021 16:46:47"
"Attempting E","29/05/2021 16:48:10"
"Attempting E","29/05/2021 17:19:28"
"Submitting E","29/05/2021 17:20:57"
"Submitting E","29/05/2021 17:21:42"
"Compiling Judge for  E","29/05/2021 17:22:28"
"Compiling Judge for  A","29/05/2021 17:22:39"
"Submitting","29/05/2021 17:51:30"
"Submitting E","29/05/2021 17:51:46"
"Submitting E","29/05/2021 17:53:35"
"Submitting E","29/05/2021 17:53:56"
"Compiling Judge for  A","29/05/2021 18:05:49"
"Submitting F","29/05/2021 19:14:40"
