Event,Time
Baseline,"04/05/2021 19:51:34"
"Attempting B","04/05/2021 19:54:03"
"Testing B","04/05/2021 19:55:01"
"Testing B","04/05/2021 19:55:48"
"Submitting B","04/05/2021 19:55:57"
"Attempting D","04/05/2021 19:56:00"
"Testing D","04/05/2021 20:08:09"
"Testing D","04/05/2021 20:09:02"
"Testing D","04/05/2021 20:10:00"
"Testing D","04/05/2021 20:13:01"
"Testing D","04/05/2021 20:15:39"
"Submitting D","04/05/2021 20:15:49"
"Attempting E","04/05/2021 20:16:23"
"Testing E","04/05/2021 20:59:33"
"Testing E","04/05/2021 21:02:41"
"Testing E","04/05/2021 21:03:42"
"Testing E","04/05/2021 21:06:21"
"Submitting E","04/05/2021 21:06:32"
"Attempting F","04/05/2021 21:08:27"
"intermission","04/05/2021 21:13:16"
"welcome_back","04/05/2021 21:14:58"
"Testing F","04/05/2021 21:36:29"
"Testing F","04/05/2021 21:37:13"
"Testing F","04/05/2021 21:37:36"
"Testing F","04/05/2021 21:39:54"
"Submitting F","04/05/2021 21:40:21"
"Testing F","04/05/2021 21:52:16"
"Submitting F","04/05/2021 21:53:28"
"Testing F","04/05/2021 21:56:13"
"Submitting F","04/05/2021 21:56:22"
"Testing F","04/05/2021 21:59:49"
"Testing F","04/05/2021 22:00:39"
"Testing F","04/05/2021 22:01:07"
"Testing F","04/05/2021 22:06:45"
"Testing F","04/05/2021 22:07:14"
"Submitting F","04/05/2021 22:07:26"
"Testing F","04/05/2021 22:11:17"
"Testing F","04/05/2021 22:11:39"
"Submitting F","04/05/2021 22:11:44"
"Submitting F","04/05/2021 22:12:41"
"Attempting F Again","04/05/2021 22:19:25"
"Testing F","04/05/2021 22:29:44"
"Testing F","04/05/2021 22:30:36"
"Testing F","04/05/2021 22:31:45"
"Testing F","04/05/2021 22:32:10"
"Testing F","04/05/2021 22:33:43"
"Submitting F","04/05/2021 22:33:55"
"Attempting G","04/05/2021 22:34:48"
"Announcement","04/05/2021 23:02:20"
"Thank you!","04/05/2021 23:04:56"
