Event,Time
Baseline,"23/05/2021 15:30:39"
"Attempting F","23/05/2021 15:51:07"
"Submitting","23/05/2021 16:01:47"
"Submitting F","23/05/2021 16:01:55"
"Submitting F","23/05/2021 16:02:51"
"Attempting G","23/05/2021 16:03:33"
"Submitting G","23/05/2021 16:37:26"
"Submitting G","23/05/2021 16:42:18"
"Intermission","23/05/2021 16:47:04"
"Welcome_Back","23/05/2021 16:52:13"
"Attempting H","23/05/2021 17:05:51"
"Submitting H","23/05/2021 17:15:45"
"Attempting I","23/05/2021 17:17:27"
"Submitting I","23/05/2021 17:50:43"
"Submitting I","23/05/2021 17:55:49"
"Submitting I","23/05/2021 17:56:24"
"Intermission Again","23/05/2021 18:01:15"
"Attempting J","23/05/2021 18:05:55"
"Submitting J","23/05/2021 18:48:57"
"Submitting J","23/05/2021 18:49:54"
"Submitting J","23/05/2021 18:50:18"
"Submitting J","23/05/2021 18:50:46"
"Submitting J","23/05/2021 18:56:13"
"Submitting J","23/05/2021 19:00:28"
"Attempting K","23/05/2021 19:12:29"
"Submitting K","23/05/2021 19:33:56"
"Submitting K","23/05/2021 20:38:08"
