Event,Time
Baseline,"13/05/2021 20:20:48"
"Attempting F","13/05/2021 20:22:08"
"Submitting F","13/05/2021 20:35:45"
"Submitting F","13/05/2021 20:40:06"
"Why_previous_method_is_not_working?","13/05/2021 20:41:26"
"Compiling Data Generator for  F","13/05/2021 20:44:31"
"Compiling Data Generator for  F","13/05/2021 20:45:58"
"Compiling Judge for  F","13/05/2021 20:51:07"
"Compiling Judge for  F","13/05/2021 20:51:18"
"Compiling Judge for  F","13/05/2021 20:51:33"
"Compiling Judge for  F","13/05/2021 20:52:02"
"Compiling Judge for  F","13/05/2021 20:54:17"
"Compiling Data Generator for  F","13/05/2021 20:54:23"
"Compiling Data Generator for  F","13/05/2021 20:55:21"
"Compiling Judge for  F","13/05/2021 20:57:35"
"Attempting G","13/05/2021 21:02:04"
"Submitting G","13/05/2021 21:17:26"
"Attempting H","13/05/2021 21:22:14"
"Submitting H","13/05/2021 22:11:29"
"Submitting H","13/05/2021 22:11:39"
"Submitting H","13/05/2021 22:11:53"
"Submitting H","13/05/2021 22:13:51"
