Event,Time
Baseline,"27/05/2021 20:30:28"
"Attempting","27/05/2021 20:36:07"
"Attempting A","27/05/2021 20:36:34"
"Submitting A","27/05/2021 20:48:34"
"Attempting B","27/05/2021 20:49:33"
"Submitting B","27/05/2021 21:25:25"
"Submitting B","27/05/2021 21:26:39"
"Submitting B","27/05/2021 21:41:34"
"Submitting B","27/05/2021 21:43:22"
"Attempting C","27/05/2021 21:44:29"
"Submitting C","27/05/2021 22:02:13"
"Attempting D","27/05/2021 22:02:47"
"Attempting E","27/05/2021 22:21:21"
"Submitting E","27/05/2021 22:43:16"
"Submitting E","27/05/2021 22:44:16"
"Attempting F","27/05/2021 22:44:54"
"Attempting F","27/05/2021 22:55:14"
"Submitting F","27/05/2021 23:02:43"
